Room Name,Attendee ID,Preference
Canada Life-1,102,1
Canada Life-1,589,2
Canada Life-1,58,3
Canada Life-1,211,4
Canada Life-1,305,5
Canada Life-1,25,6
Canada Life-1,265,7
Canada Life-1,238,8
Canada Life-1,43,9
Canada Life-1,231,10
Canada Life-1,463,11
Canada Life-1,409,12
Intact Insurance-1,16,1
Intact Insurance-1,521,2
Intact Insurance-1,293,3
Intact Insurance-1,118,4
Intact Insurance-1,271,5
Intact Insurance-1,53,6
Intact Insurance-1,355,7
Intact Insurance-1,198,8
Intact Insurance-1,501,9
Intact Insurance-1,2,10
Intact Insurance-1,443,11
Intact Insurance-1,561,12
Wawanesa Insurance-1,53,1
Wawanesa Insurance-1,153,2
Wawanesa Insurance-1,155,3
Wawanesa Insurance-1,599,4
Wawanesa Insurance-1,612,5
Wawanesa Insurance-1,102,6
Wawanesa Insurance-1,220,7
Wawanesa Insurance-1,101,8
Wawanesa Insurance-1,653,9
Economical Insurance-1,567,1
Economical Insurance-1,202,2
Economical Insurance-1,60,3
Economical Insurance-1,61,4
Economical Insurance-1,178,5
Economical Insurance-1,31,6
Economical Insurance-1,296,7
Economical Insurance-1,641,8
Economical Insurance-1,14,9
Economical Insurance-1,501,10
Economical Insurance-1,522,11
Economical Insurance-1,551,12
Ontario Teachers' Pension Plan-1,350,1
Ontario Teachers' Pension Plan-1,294,2
Ontario Teachers' Pension Plan-1,11,3
Ontario Teachers' Pension Plan-1,83,4
Ontario Teachers' Pension Plan-1,78,5
Ontario Teachers' Pension Plan-1,112,6
Ontario Teachers' Pension Plan-1,215,7
Ontario Teachers' Pension Plan-1,97,8
Ontario Teachers' Pension Plan-1,57,9
Ontario Teachers' Pension Plan-1,425,10
Ontario Teachers' Pension Plan-1,34,11
Desjardins-1,402,1
Desjardins-1,98,2
Desjardins-1,10,3
Desjardins-1,219,4
Desjardins-1,561,5
Desjardins-1,131,6
Desjardins-1,20,7
Desjardins-1,501,8
Desjardins-1,181,9
Desjardins-1,122,10
Desjardins-1,211,11
Desjardins-1,487,12
Northbridge Financial Corporation-1,31,1
Northbridge Financial Corporation-1,385,2
Northbridge Financial Corporation-1,142,3
Northbridge Financial Corporation-1,619,4
Northbridge Financial Corporation-1,8,5
Northbridge Financial Corporation-1,381,6
Northbridge Financial Corporation-1,280,7
Northbridge Financial Corporation-1,27,8
Northbridge Financial Corporation-1,431,9
Northbridge Financial Corporation-1,61,10
Northbridge Financial Corporation-1,359,11
Northbridge Financial Corporation-1,6,12
RSM Canada-1,27,1
RSM Canada-1,420,2
RSM Canada-1,407,3
RSM Canada-1,122,4
RSM Canada-1,276,5
RSM Canada-1,403,6
RSM Canada-1,101,7
RSM Canada-1,556,8
RSM Canada-1,176,9
RSM Canada-1,213,10
RSM Canada-1,381,11
RSM Canada-1,121,12
Royal and Sun Alliance (RSA)-1,66,1
Royal and Sun Alliance (RSA)-1,273,2
KPMG Canada-1,75,1
KPMG Canada-1,95,2
KPMG Canada-1,178,3
KPMG Canada-1,197,4
KPMG Canada-1,342,5
KPMG Canada-1,556,6
KPMG Canada-1,609,7
KPMG Canada-1,568,8
KPMG Canada-1,189,9
KPMG Canada-1,179,10
Normandin Beaudry-1,284,1
Normandin Beaudry-1,54,2
Normandin Beaudry-1,17,3
Normandin Beaudry-1,1,4
Normandin Beaudry-1,436,5
Normandin Beaudry-1,75,6
Normandin Beaudry-1,266,7
Normandin Beaudry-1,575,8
Normandin Beaudry-1,365,9
Normandin Beaudry-1,639,10
Normandin Beaudry-1,597,11
Milliman-1,66,1
Milliman-1,176,2
Milliman-1,200,3
Milliman-1,213,4
Milliman-1,293,5
Milliman-1,407,6
Milliman-1,520,7
Milliman-1,627,8
The Co-operators-1,593,1
The Co-operators-1,571,2
The Co-operators-1,71,3
The Co-operators-1,259,4
The Co-operators-1,302,5
The Co-operators-1,202,6
The Co-operators-1,276,7
The Co-operators-1,197,8
The Co-operators-1,249,9
Mercer Canada-1,196,1
Mercer Canada-1,253,2
Mercer Canada-1,293,3
Mercer Canada-1,312,4
Mercer Canada-1,123,5
Mercer Canada-1,243,6
Mercer Canada-1,589,7
Mercer Canada-1,272,8
Mercer Canada-1,199,9
PartnerRe-1,539,1
PartnerRe-1,57,2
PartnerRe-1,96,3
PartnerRe-1,142,4
CAAT Pension Plan-1,49,1
CAAT Pension Plan-1,587,2
CAAT Pension Plan-1,242,3
CAAT Pension Plan-1,589,4
CAAT Pension Plan-1,451,5
CAAT Pension Plan-1,6,6
CAAT Pension Plan-1,647,7
CAAT Pension Plan-1,86,8
CAAT Pension Plan-1,213,9
CAAT Pension Plan-1,167,10
CAAT Pension Plan-1,481,11
CAAT Pension Plan-1,529,12
Foresters Financial-1,123,1
Foresters Financial-1,505,2
Foresters Financial-1,261,3
Foresters Financial-1,570,4
Foresters Financial-1,592,5
Foresters Financial-1,58,6